Time, Mass, Net Force, Y-Acceleration, Y-velocity, Altitude
101.250000, 292603.086420, 3805844.011937, 13.006848, 671.417026, 25957.300910
101.375000, 292603.086420, 3806665.587734, 13.009656, 673.043233, 26041.431314
101.500000, 292603.086420, 3807489.069534, 13.012471, 674.669792, 26125.765038
101.625000, 292603.086420, 3808314.391118, 13.015291, 676.296703, 26210.302126
101.750000, 292603.086420, 3809141.486588, 13.018118, 677.923968, 26295.042622
101.875000, 292603.086420, 3809970.290377, 13.020950, 679.551587, 26379.986570
102.000000, 292603.086420, 3810800.737254, 13.023789, 681.179560, 26465.134015
102.125000, 290140.740741, 3835554.561084, 13.219635, 682.832014, 26550.488017
102.250000, 290140.740741, 3836376.849667, 13.222469, 684.484823, 26636.048620
102.375000, 290140.740741, 3837200.798491, 13.225308, 686.137987, 26721.815868
102.500000, 290140.740741, 3838026.342035, 13.228154, 687.791506, 26807.789806
102.625000, 290140.740741, 3838853.415127, 13.231004, 689.445381, 26893.970479
102.750000, 290140.740741, 3839681.952953, 13.233860, 691.099614, 26980.357931
102.875000, 290140.740741, 3840511.891060, 13.236721, 692.754204, 27066.952206
103.000000, 290140.740741, 3841343.165363, 13.239586, 694.409152, 27153.753350
103.125000, 287678.395062, 3866092.369109, 13.438939, 696.089020, 27240.764478
103.250000, 287678.395062, 3866915.300446, 13.441799, 697.769244, 27327.985633
103.375000, 287678.395062, 3867739.584961, 13.444665, 699.449828, 27415.416862
103.500000, 287678.395062, 3868565.158349, 13.447535, 701.130769, 27503.058208
103.625000, 287678.395062, 3869391.956688, 13.450409, 702.812070, 27590.909717
103.750000, 287678.395062, 3870219.916442, 13.453287, 704.493731, 27678.971433
103.875000, 287678.395062, 3871048.974466, 13.456169, 706.175752, 27767.243402
104.000000, 287678.395062, 3871879.068015, 13.459054, 707.858134, 27855.725669
104.125000, 285216.049383, 3896621.551916, 13.662000, 709.565884, 27944.421404
104.250000, 285216.049383, 3897443.126698, 13.664880, 711.273994, 28033.330654
104.375000, 285216.049383, 3898265.754131, 13.667764, 712.982465, 28122.453462
104.500000, 285216.049383, 3899089.371322, 13.670652, 714.691296, 28211.789874
